Time,Susceptible,Exposed,Infected,Recovered
4.8,4,12,16,68
4.805,4,12,16,68
4.81,4,12,16,68
4.815,4,12,16,68
4.82,4,12,16,68
4.825,4,12,16,68
4.83,4,12,16,68
4.835,4,12,16,68
4.84,4,12,16,68
4.845,3,13,16,68
4.85,3,13,16,68
4.855,3,13,16,68
4.86,3,12,17,68
4.865,3,12,17,68
4.87,3,12,17,68
4.875,3,12,17,68
4.88,3,12,17,68
4.885,3,12,17,68
4.89,3,12,17,68
4.895,3,12,17,68
4.9,3,12,16,69
4.905,3,12,16,69
4.91,3,12,16,69
4.915,3,12,16,69
4.92,3,12,16,69
4.925,3,12,16,69
4.93,3,12,16,69
4.935,3,12,15,70
4.94,3,12,15,70
4.945,3,12,15,70
4.95,3,12,15,70
4.955,3,12,15,70
4.96,3,12,15,70
4.965,3,12,15,70
4.97,3,11,16,70
4.975,3,11,16,70
4.98,3,11,16,70
4.985,3,11,16,70
4.99,3,11,16,70
4.995,3,11,16,70
5,3,11,16,70
5.005,3,11,15,71
5.01,3,11,14,72
5.015,3,11,14,72
5.02,3,11,14,72
5.025,3,11,14,72
5.03,3,11,14,72
5.035,3,11,14,72
5.04,3,11,14,72
5.045,3,11,14,72
5.05,3,11,14,72
5.055,3,11,14,72
5.06,3,11,14,72
5.065,3,11,14,72
5.07,3,11,14,72
5.075,3,11,14,72
5.08,3,11,13,73
5.085,3,11,13,73
5.09,2,12,13,73
5.095,2,12,13,73
5.1,2,12,13,73
5.105,2,11,14,73
5.11,2,11,14,73
5.115,2,11,14,73
5.12,2,11,14,73
5.125,2,11,14,73
5.13,2,11,13,74
5.135,2,11,13,74
5.14,2,11,13,74
5.145,2,11,13,74
5.15,2,11,12,75
5.155,2,11,12,75
5.16,2,11,12,75
5.165,2,11,12,75
5.17,2,11,11,76
5.175,2,11,11,76
5.18,2,11,11,76
5.185,2,11,11,76
5.19,2,11,11,76
5.195,2,11,11,76
5.2,2,11,11,76
5.205,2,11,11,76
5.21,2,11,11,76
5.215,2,11,11,76
5.22,2,11,11,76
5.225,2,11,11,76
5.23,2,11,11,76
5.235,2,11,11,76
5.24,2,10,12,76
5.245,2,10,12,76
5.25,2,10,12,76
5.255,2,10,12,76
5.26,2,10,12,76
5.265,2,10,12,76
5.27,2,10,12,76
