time,State3Mean,state3STD
0.0942,0.05,0.217945
0.0943,0.05,0.217945
0.0944,0.05,0.217945
0.0945,0.05,0.217945
0.0946,0.05,0.217945
0.0947,0.05,0.217945
0.0948,0.05,0.217945
0.0949,0.05,0.217945
0.095,0.05,0.217945
0.0951,0.05,0.217945
0.0952,0.05,0.217945
0.0953,0.05,0.217945
0.0954,0.05,0.217945
0.0955,0.05,0.217945
0.0956,0.05,0.217945
0.0957,0.05,0.217945
0.0958,0.05,0.217945
0.0959,0.05,0.217945
0.096,0.05,0.217945
0.0961,0.05,0.217945
0.0962,0.05,0.217945
0.0963,0.05,0.217945
0.0964,0.05,0.217945
0.0965,0.05,0.217945
0.0966,0.05,0.217945
0.0967,0.05,0.217945
0.0968,0.05,0.217945
0.0969,0.05,0.217945
0.097,0.05,0.217945
0.0971,0.05,0.217945
0.0972,0.05,0.217945
0.0973,0.05,0.217945
0.0974,0.05,0.217945
0.0975,0.05,0.217945
0.0976,0.05,0.217945
0.0977,0.05,0.217945
0.0978,0.05,0.217945
0.0979,0.05,0.217945
0.098,0.05,0.217945
0.0981,0.05,0.217945
0.0982,0.05,0.217945
0.0983,0.05,0.217945
0.0984,0.05,0.217945
0.0985,0.05,0.217945
0.0986,0.05,0.217945
0.0987,0.05,0.217945
0.0988,0.05,0.217945
0.0989,0.05,0.217945
0.099,0.05,0.217945
0.0991,0.05,0.217945
0.0992,0.05,0.217945
0.0993,0.05,0.217945
0.0994,0.05,0.217945
0.0995,0.05,0.217945
0.0996,0.05,0.217945
0.0997,0.05,0.217945
0.0998,0.05,0.217945
0.0999,0.05,0.217945
0.1,0.05,0.217945
0.1001,0.05,0.217945
0.1002,0.05,0.217945
0.1003,0.05,0.217945
0.1004,0.05,0.217945
0.1005,0.05,0.217945
0.1006,0.05,0.217945
0.1007,0.05,0.217945
0.1008,0.05,0.217945
0.1009,0.05,0.217945
0.101,0.05,0.217945
0.1011,0.06,0.237487
0.1012,0.06,0.237487
0.1013,0.06,0.237487
0.1014,0.06,0.237487
0.1015,0.06,0.237487
0.1016,0.06,0.237487
0.1017,0.06,0.237487
0.1018,0.06,0.237487
0.1019,0.06,0.237487
0.102,0.06,0.237487
0.1021,0.06,0.237487
0.1022,0.06,0.237487
0.1023,0.06,0.237487
0.1024,0.06,0.237487
0.1025,0.06,0.237487
0.1026,0.06,0.237487
